osm_id,type
5672001,unclassified
5671936,footway
5671456,residential
5671719,primary
5671620,secondary
5672053,residential
5671921,residential
5672063,residential
5672060,residential
5671973,unclassified
5671964,secondary
5672073,unclassified
5672076,residential
5672080,pedestrian
5672090,pedestrian
5671577,residential
5672093,residential
5671945,residential
5672094,residential
5672006,residential
5672100,residential
5672112,cycleway
5672110,residential
5671276,secondary
5672116,cycleway
5672122,residential
5671937,track
5671691,residential
5672032,residential
5672135,residential
5672129,residential
5672138,residential
5671743,residential
5672155,unclassified
5671777,residential
5671920,primary
5672159,unclassified
5672161,residential
5672151,residential
5672173,residential
5672052,residential
5672054,tertiary
5672096,residential
5672019,secondary
5671739,residential
5671933,footway
5671698,residential
5672184,residential
5672146,unclassified
5672203,primary
5672198,primary
5671991,residential
5672190,unclassified
5672149,residential
5671713,residential
5672214,residential
5672099,residential
5672269,residential
5671932,secondary
5672168,residential
5672275,service
5672120,residential
5672142,secondary
5672309,residential
5671811,residential
5672065,residential
5672315,residential
5672321,secondary
5672068,secondary
5672325,residential
5672187,residential
5672329,service
5672183,residential
5671529,footway
5672331,service
5672148,unclassified
5672050,primary
5672361,pedestrian
5672303,residential
5672366,service
5672176,secondary
5672178,secondary
5672217,residential
5672118,residential
5672402,residential
5672306,residential
5672180,residential
5672036,residential
5672195,secondary
5672182,motorway_link
5672107,residential
5672410,residential
5672299,residential
5672418,residential
5671808,cycleway
5672264,tertiary
5672412,pedestrian
5672398,residential
5672311,pedestrian
5672464,unclassified
5672244,trunk
5672478,motorway_link
5672334,service
5672355,footway
5672395,living_street
5672497,residential
5672284,residential
5672499,unclassified
5672503,residential
5672447,residential
5672262,residential
5672211,residential
5672510,unclassified
5672415,residential
5672518,track
5672528,residential
5672399,secondary
5672490,footway
5672383,unclassified
5672563,residential
5672535,unclassified
5672411,residential
5671887,motorway
5672493,residential
5672578,residential
5672475,residential
5672582,footway
5672337,motorway_link
5671774,primary
5672598,residential
5672585,residential
5672409,residential
5672450,unclassified
5672559,tertiary
5672625,residential
5672629,secondary
5672553,tertiary
5672430,residential
5672501,residential
5672550,secondary
5672654,residential
5672575,residential
5672392,residential
5672650,secondary
5672648,residential
5672273,unclassified
5672512,residential
5672483,residential
5672377,secondary
5672441,secondary
5672722,residential
5672706,residential
5672607,residential
5672730,motorway_link
5672459,service
5672762,residential
5672757,cycleway
5672760,secondary
5672532,pedestrian
5672764,residential
5672571,residential
5672389,secondary
5672699,unclassified
5672803,residential
5672713,residential
5672515,primary
5672800,secondary
5672752,primary
5672487,unclassified
5672855,primary
5672901,residential
5672893,unclassified
5672290,secondary
5672766,residential
5672911,residential
5672917,service
5672873,residential
5672524,residential
5672615,secondary
5672922,residential
5672517,footway
5672943,residential
5672747,residential
5672910,residential
5672681,unclassified
5672889,residential
5672912,residential
5672954,secondary
5672871,residential
5672967,secondary
5672710,residential
5672965,secondary
5672860,residential
5672948,residential
5672466,residential
5672971,primary
5672941,residential
5672987,residential
5672040,residential
5672989,residential
5672980,service
5672925,primary
5672992,unclassified
5672942,service
5672621,secondary
5673001,service
5672715,residential
5672769,residential
5673033,residential
5672937,secondary
5672985,steps
5672701,cycleway
5673038,unclassified
5672986,secondary
5672660,residential
5673071,pedestrian
5672604,residential
5672991,primary
5673069,residential
5673020,footway
5673075,residential
5672434,primary
5672988,residential
5672976,residential
5672978,service
5673089,secondary
5673079,residential
5672973,secondary
5672743,residential
5672656,residential
5672851,primary
5672565,footway
5673104,cycleway
5673052,unclassified
5673035,residential
5673085,residential
5673067,residential
5673102,unclassified
5673073,residential
5672981,residential
5673127,residential
5673110,residential
5673208,residential
5673157,residential
5672646,secondary
5673211,unclassified
5673210,residential
5673217,track
5673213,residential
5673227,residential
5673228,residential
5673231,secondary
5672946,residential
5672977,residential
5673114,secondary
5673276,trunk
5673299,residential
5673064,tertiary
5673307,residential
5673106,residential
5673117,secondary
5673179,residential
5673124,primary
5673083,secondary
5673077,residential
5673078,primary
5673119,primary
5673205,service
5673348,residential
5673346,residential
5673305,residential
5673236,residential
5673355,residential
5673220,residential
5673185,residential
5673326,tertiary
5673301,residential
5673358,residential
5672899,residential
5673081,residential
5672951,secondary
5673309,residential
5673323,unclassified
5673359,service
5673410,residential
5673296,secondary
5673414,residential
5672896,residential
5673419,residential
5673427,residential
5673047,primary
5673373,residential
5673353,residential
5673351,residential
5673446,residential
5673361,residential
5673367,unclassified
5672662,tertiary
5673416,residential
