,BLOCK,LOT,CD,CT2010,CB2010,ZipCode,LandUse,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,LotType,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,YearAlter1,YearAlter2,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,Tract2010,XCoord,YCoord,SHAPE_Leng,SHAPE_Area
6117,930,12,106,66,6000,10010,3,47394,265541,0,265541,0,0,0,0,0,0,2,28,236,236,245,197.5,208,175,4,3897000,15979050,3897000,15979050,1975,0,0,5.6,6.02,0,6.5,1,66,990026,208289,987.3796544,47735.33906
6118,930,42,106,66,6000,10010,4,2469,5375,1185,4190,0,1185,0,0,0,0,1,2,2,4,25,98.75,22,40,5,213949,400401,0,0,1910,0,0,2.18,6.02,0,6.5,1,66,990144,208298,255.5842538,2529.297444
6119,931,1,106,66,7000,10010,4,64773,435548,64830,370718,0,6050,58780,0,0,0,2,14,404,411,197.5,425,170,409,4,5085000,18899100,5085000,18899100,1970,0,0,6.72,6.02,0,6.5,1,66,989973,208627,1491.438013,66565.93267
6120,931,14,106,66,7000,10010,2,4375,19110,0,19110,0,0,0,0,0,0,2,5,40,40,50,98.75,25,84,5,316350,1921950,0,0,1910,0,0,4.37,6.02,0,6.5,1,66,990145,208476,314.6697406,5476.209666
6121,933,25,106,66,8000,10016,3,44650,218666,0,218666,0,0,0,0,0,0,1,26,225,225,197.5,250,161,184,3,3892500,16551450,3892500,16551450,1970,2012,0,4.9,6.02,0,6.5,1,66,990627,208860,953.500261,50224.26512
6122,934,1,106,66,8002,10016,4,141836,829024,19550,809474,0,19550,0,0,0,0,8,28,894,902,692.5,185,235.58,172.92,3,12465450,76857750,0,0,1975,0,0,5.84,7.52,2,10,1,66,990274,209143,2078.972817,162810.2411
6123,935,5,106,70,3000,10016,4,5875,28431,2600,25831,0,2600,0,0,0,0,1,7,51,53,77.83,75,78,70,5,783000,2885850,0,0,1964,0,0,4.84,7.52,2,10,1,70,990447,209565,309.2720352,5962.879967
6124,935,40,106,70,3000,10016,4,2222,10458,3482,6976,3482,0,0,0,0,0,1,5,4,6,22.5,98.75,23,83,5,263026,907030,0,0,1910,1970,0,4.71,3,0,3,1,70,990838,209383,249.2550994,2325.431881
6125,935,41,106,70,3000,10016,2,2222,5710,800,4910,0,800,0,0,0,0,1,4,8,9,22.5,98.75,23,48,5,114992,474362,0,0,1910,0,0,2.57,3,0,3,1,70,990818,209394,247.945708,2263.878842
6126,935,46,106,70,3000,10016,2,2074,4000,0,4000,0,0,0,0,0,0,1,3,4,4,21,98.75,21,45,5,91978,391505,9400,9400,1910,1984,0,1.93,3,0,3,1,70,990724,209446,243.9382649,2085.876452
